car_name,model_year,present_price,km_driven,seller_type,fuel_type,transmission_type,ownsership,selling_price
Maruti Wagon R,2018,2250000,102558,Individual,Petrol,Manual,First Owner,120000
Hyundai i10,2022,1470000,35000,Dealer,Petrol,Manual,Second Owner,190000
Toyota Innova,2017,3300000,110000,Individual,Diesel,Manual,First Owner,900000
Maruti Swift,2010,2290000,80000,Individual,Diesel,Manual,First Owner,285000
Toyota Camry,2011,5375000,34000,Dealer,Petrol,Automatic,Second Owner,2400000
Maruti Swift Dzire,2016,1500000,27000,Dealer,Petrol,Manual,First Owner,570000
Mercedes-Benz C-Class,2013,1850000,39000,Dealer,Diesel,Automatic,First Owner,1375000
Mahindra Scorpio,2008,2000000,48500,Dealer,Diesel,Manual,First Owner,851000
Ford Ecosport,2015,2475000,40000,Individual,Diesel,Manual,First Owner,600000
Maruti Swift,2010,3750000,20000,Individual,Petrol,Manual,First Owner,530000
Renault Duster,2014,2200000,53000,Individual,Diesel,Manual,First Owner,650000
Maruti Swift Dzire,2010,1995000,36000,Dealer,Diesel,Manual,First Owner,600000
Maruti Swift Dzire,2008,3095000,78000,Dealer,Petrol,Manual,Second Owner,385000
Honda WR-V,2021,2150000,26000,Dealer,Petrol,Manual,First Owner,850000
Hyundai Creta,2010,1275000,35000,Individual,Diesel,Manual,First Owner,1300000
Maruti Swift,2018,2275000,24000,Dealer,Petrol,Manual,1984 cc,485000
Maruti Alto,2016,1700000,14400,Individual,Petrol,Manual,First Owner,320000
Mahindra Bolero,2022,1195000,100000,Individual,Diesel,Manual,First Owner,600000
Renault KWID,2020,340000,5700,Dealer,Petrol,Manual,First Owner,360000
Hyundai Santro,2022,2550000,100,Individual,Petrol,Manual,First Owner,475000
BMW X3,2005,2680000,200000,Individual,Diesel,Automatic,First Owner,1500000
Toyota Fortuner,2019,1500000,127000,Individual,Diesel,Manual,First Owner,1050000
Hyundai Verna,2023,3375000,72000,Dealer,Diesel,Manual,First Owner,698000
Mahindra Scorpio,2020,1750000,60000,Individual,Diesel,Manual,Second Owner,500000
Mercedes-Benz E-Class,2017,2100000,40000,Dealer,Diesel,Automatic,First Owner,1450000
Maruti Swift,2023,2250000,14000,Dealer,Petrol,Manual,First Owner,590000
Ford Ecosport,2019,1250000,70000,Individual,Diesel,Manual,First Owner,750000
Maruti Wagon R,2008,2150000,120000,Individual,Petrol,Manual,First Owner,290000
Toyota Innova,2012,1015000,50000,Dealer,Diesel,Manual,First Owner,875000
Ford Endeavour,2008,2275000,120000,Individual,Diesel,Manual,First Owner,300000
Maruti Swift Dzire,2008,1125000,33537,Dealer,Petrol,Manual,Second Owner,420000
Datsun GO,1999,1425000,12000,Individual,Petrol,Manual,First Owner,400000
Ford Ecosport,2019,1425000,75000,Dealer,Diesel,Manual,First Owner,475000
Hyundai i20,2017,1430000,40000,Individual,Petrol,Manual,Third Owner,600000
Hyundai i20,2016,2050000,40000,Dealer,Petrol,Manual,First Owner,700000
Skoda Rapid,2015,3295000,45000,Dealer,Diesel,Manual,First Owner,400000
Hyundai Creta,2015,1425000,60000,Dealer,Petrol,Manual,First Owner,825000
Renault Duster,2017,3450000,80000,Individual,Diesel,Manual,First Owner,450000
Hyundai Creta,2013,2220000,70000,Dealer,Diesel,Manual,First Owner,775000
Tata Tigor,2006,2220000,25000,Individual,Petrol,Manual,Second Owner,500000
Ford Ecosport,2008,3850000,50000,Individual,Petrol,Manual,First Owner,540000
Maruti Swift,2015,1425000,49000,Individual,Diesel,Manual,First Owner,380000
Tata Tiago,2022,545000,10000,Individual,Petrol,Manual,First Owner,450000
Skoda Octavia,2003,1530000,50000,Dealer,Diesel,Automatic,First Owner,1050000
Ford Ecosport,2021,2050000,51303,Dealer,Diesel,Manual,First Owner,780000
Audi A4,2002,1250000,39000,Dealer,Diesel,Automatic,First Owner,1195000
BMW 5,2012,1500000,50000,Dealer,Diesel,Automatic,First Owner,1700000
Hyundai i10,2023,2200000,38000,Individual,Petrol,Manual,First Owner,350000
Mahindra Bolero,2006,1920000,42135,Dealer,Diesel,Manual,First Owner,561000
Mahindra Scorpio,2023,2400000,120000,Individual,Diesel,Manual,First Owner,900000
Maruti Wagon R,2016,1235000,60000,Individual,Petrol,Manual,First Owner,250000
Hyundai i20,2019,2230000,50000,Individual,Petrol,Manual,2999 cc,625000
Tata Tiago,2023,920000,3000,Individual,Petrol,Manual,First Owner,550000
Maruti Alto,2021,2485000,35760,Dealer,Petrol,Manual,First Owner,205000
Hyundai Verna,2009,910000,90000,Individual,Diesel,Manual,First Owner,370000
Land Rover Rover,2017,1685000,80000,Dealer,Diesel,Automatic,First Owner,1275000
Hyundai Santro,2016,730000,39000,Dealer,Petrol,Manual,First Owner,230000
Hyundai Verna,2016,2400000,12000,Dealer,Petrol,Manual,First Owner,1025000
Maruti Swift Dzire,2022,1350000,70000,Individual,Diesel,Manual,First Owner,500000
Honda Amaze,2012,3050000,27233,Dealer,Diesel,Manual,First Owner,465000
Toyota Fortuner,2022,1450000,100000,Individual,Diesel,Automatic,First Owner,1300000
Honda Amaze,2022,1650000,49364,Dealer,Diesel,Manual,First Owner,340000
Maruti Swift,2020,1550000,64366,Dealer,Diesel,Manual,Second Owner,468000
Mercedes-Benz E-Class,2006,1325000,177000,Individual,Diesel,Automatic,First Owner,1600000
Hyundai i20,2003,2775000,30000,Individual,Diesel,Manual,First Owner,550000
Hyundai i20,2023,695000,18000,Individual,Petrol,Manual,Second Owner,650000
Maruti Wagon R,2008,310000,30000,Individual,Petrol,Manual,First Owner,340000
Hyundai Creta,2004,485000,70000,Individual,Diesel,Manual,First Owner,950000
Maruti Swift Dzire,2013,2250000,15000,Individual,Petrol,Manual,First Owner,540000
Ford Figo,2017,650000,62256,Dealer,Diesel,Manual,First Owner,300000
Ford Aspire,2014,730000,35000,Individual,Petrol,Manual,First Owner,369000
Honda Jazz,2013,685000,34000,Dealer,Petrol,Manual,1968 cc,525000
Hyundai i20,2017,2225000,70000,Individual,Diesel,Manual,First Owner,680000
Maruti Swift Dzire,2011,2750000,68082,Dealer,Diesel,Manual,First Owner,465000
Maruti Swift,2018,1800000,30000,Dealer,Diesel,Manual,First Owner,760000
Hyundai Creta,2022,18000000,38280,Trustmark Dealer,Petrol,Manual,First Owner,950000
Maruti Wagon R,2002,1320000,84000,Individual,Petrol,Manual,First Owner,100000
Ford Figo,2023,2845000,8073,Trustmark Dealer,Petrol,Manual,First Owner,575000
Maruti Eeco,2006,2525000,76826,Dealer,CNG,Manual,First Owner,365000
Ford Ecosport,2022,15600000,36000,Dealer,Diesel,Manual,First Owner,565000
Ford Ecosport,2019,2495000,50000,Individual,Diesel,Manual,First Owner,650000
Mahindra Scorpio,2023,22500000,158000,Individual,Diesel,Automatic,First Owner,400000
Maruti Swift,2021,2750000,15000,Dealer,Petrol,Automatic,First Owner,650000
Maruti Swift,2021,390000,52000,Dealer,Petrol,Manual,First Owner,299000
Maruti Wagon R,2007,450000,80000,Dealer,Petrol,Manual,First Owner,85000
Audi Q7,2008,2325000,40000,Dealer,Diesel,Automatic,First Owner,2375000
Hyundai Grand,2020,1930000,49000,Dealer,Petrol,Automatic,First Owner,475000
Skoda Rapid,2019,1325000,8500,Dealer,Petrol,Automatic,First Owner,1035000
Volkswagen Vento,2023,2875000,78000,Dealer,Diesel,Manual,First Owner,289000
Ford Endeavour,2021,1650000,67000,Dealer,Diesel,Automatic,First Owner,2340000
Honda Jazz,2018,3230000,19000,Dealer,Petrol,Automatic,First Owner,775000
Volkswagen Vento,2016,1200000,80000,Individual,Diesel,Manual,Second Owner,350000
Maruti Alto,2004,3800000,40000,Individual,Petrol,Manual,First Owner,270000
Honda Amaze,2015,750000,109000,Dealer,Diesel,Manual,First Owner,450000
Maruti Ciaz,2017,1490000,13000,Dealer,Petrol,Manual,First Owner,640000
Hyundai Grand,2010,1395000,62220,Dealer,Diesel,Manual,First Owner,490000
Maruti Wagon R,2015,1330000,50000,Individual,CNG,Manual,Second Owner,400000
Honda WR-V,2008,700000,90000,Individual,Diesel,Manual,Second Owner,835000
Hyundai Creta,2014,2195000,34000,Individual,Diesel,Manual,First Owner,1150000
Skoda Rapid,2022,1550000,28800,Dealer,Petrol,Automatic,First Owner,625000
Mahindra XUV500,2017,2260000,21000,Dealer,Diesel,Manual,First Owner,1325000
Honda City,2010,3750000,56000,Dealer,Petrol,Manual,First Owner,660000
Mahindra XUV500,2021,520000,120000,Individual,Diesel,Manual,First Owner,780000
Toyota Innova,2008,3200000,184000,Dealer,Diesel,Manual,First Owner,480000
Toyota Innova,2014,2160000,108000,Dealer,Diesel,Manual,First Owner,1125000
Hyundai Grand,2011,1540000,40000,Individual,Petrol,Manual,First Owner,600000
Honda City,2009,1250000,70000,Dealer,Petrol,Manual,First Owner,370000
Volkswagen Polo,2015,795000,48000,Dealer,Petrol,Manual,Second Owner,325000
Maruti Celerio,2023,1640000,15978,Dealer,Petrol,Manual,First Owner,465000
Honda City,2012,865000,87828,Dealer,Petrol,Manual,First Owner,595000
Hyundai Elantra,2023,2050000,32000,Dealer,Diesel,Automatic,First Owner,1375000
Mahindra XUV500,2018,725000,30000,Individual,Diesel,Manual,First Owner,1200000
Hyundai i20,2018,1545000,52000,Dealer,Diesel,Manual,First Owner,745000
Toyota Innova,2017,1630000,28000,Dealer,Diesel,Automatic,First Owner,1890000
Volkswagen Polo,2013,225000,93500,Individual,Diesel,Manual,First Owner,315000
Audi A6,2020,1990000,64000,Dealer,Diesel,Automatic,999 cc,1700000
Maruti Wagon R,2016,2190000,102000,Dealer,Petrol,Manual,First Owner,200000
Datsun GO,2004,2150000,30000,Individual,Petrol,Manual,Second Owner,450000
Maruti Ertiga,2021,10500000,68500,Dealer,CNG,Manual,First Owner,585000
Maruti Baleno,2021,865000,6700,Individual,Petrol,Manual,,650000
Mahindra Scorpio,2018,2580000,88000,Dealer,Diesel,Manual,,499000
Honda Amaze,2021,2525000,25000,Individual,Petrol,Manual,,560000
Maruti Swift,2019,850000,67000,Dealer,Petrol,Manual,,160000
Hyundai i20,2019,2395000,74000,Dealer,Petrol,Manual,,575000
Maruti Ertiga,2013,2330000,100000,Individual,Diesel,Manual,,800000
Toyota Fortuner,2011,10900000,98000,Dealer,Diesel,Automatic,,2700000
Hyundai Elantra,2013,5100000,21000,Dealer,Petrol,Manual,,970000
Mahindra Scorpio,2022,2050000,230000,Individual,Diesel,Automatic,,475000
Maruti Swift,2017,2490000,27000,Individual,Diesel,Manual,,450000
Honda City,1998,925000,13000,Dealer,Petrol,Automatic,,895000
Maruti Wagon R,2005,850000,89000,Dealer,CNG,Manual,,310000
Hyundai Creta,2006,2050000,70000,Individual,Diesel,Manual,,1300000
Skoda Octavia,2022,470000,16000,Dealer,Petrol,Automatic,,1975000
Hyundai i20,2011,1485000,57000,Dealer,Diesel,Manual,,450000
Toyota Innova,2022,615000,186000,Dealer,Diesel,Automatic,,1350000
Maruti Wagon R,2020,860000,41123,Dealer,Petrol,Manual,,385000
Skoda Rapid,2004,1875000,72000,Dealer,Diesel,Manual,,475000
Ford Figo,2020,710000,90566,Dealer,Diesel,Manual,,250000
Honda CR-V,2022,2425000,56000,Dealer,Petrol,Automatic,,1475000
Skoda Superb,2016,995000,51000,Dealer,Diesel,Automatic,,850000
Maruti Wagon R,2016,830000,55000,Dealer,CNG,Manual,,335000
Maruti Swift Dzire,2022,6400000,50000,Dealer,Petrol,Manual,,550000
BMW 3,2021,2100000,70400,Dealer,Diesel,Automatic,,2045000
Maruti Celerio,2022,1320000,15000,Individual,Petrol,Manual,,440000
Maruti Vitara,2019,1550000,62000,Dealer,Diesel,Manual,,900000
Hyundai Creta,2010,2150000,45000,Dealer,Diesel,Automatic,,1025000
Hyundai Santro,2009,900000,20000,Individual,Petrol,Manual,,425000
Maruti Swift,2007,940000,13000,Dealer,Petrol,Automatic,,670000
Hyundai i20,2016,3250000,42000,Dealer,Petrol,Manual,,490000
Maruti Ciaz,2008,1590000,15700,Dealer,Petrol,Automatic,,920000
Volkswagen Vento,2012,2850000,50000,Dealer,Petrol,Automatic,,525000
Maruti Ertiga,2022,2690000,70000,Dealer,Diesel,Manual,,910000
Maruti Ciaz,2022,2350000,48448,Dealer,Petrol,Manual,,675000
Honda City,2011,5600000,21000,Dealer,Petrol,Automatic,,1185000
Maruti Vitara,2018,600000,51000,Dealer,Diesel,Manual,,950000
Datsun RediGO,2019,615000,14322,Dealer,Petrol,Manual,,315000
Honda City,2014,2600000,64029,Dealer,Petrol,Manual,,750000
Maruti Swift Dzire,2011,1500000,37809,Dealer,Petrol,Manual,,335000
Maruti Wagon R,2015,650000,29000,Dealer,Petrol,Automatic,,450000
Tata Nexon,2018,930000,33000,Dealer,Diesel,Automatic,,951000
Renault KWID,2020,470000,95518,Dealer,Petrol,Manual,,295000
Maruti Wagon R,2001,1975000,25978,Dealer,Petrol,Manual,,325000
Ford Ecosport,2022,450000,15000,Dealer,Petrol,Automatic,,1145000
Honda Amaze,2020,725000,45000,Dealer,Petrol,Manual,,550000
Tata Tiago,2021,2235000,15000,Individual,Petrol,Manual,,530000
Mini Cooper,2022,2420000,55000,Dealer,Diesel,Automatic,,1600000
Skoda Rapid,2011,450000,34000,Dealer,Diesel,Manual,,485000
Maruti Celerio,2015,3430000,25000,Individual,Petrol,Automatic,,500000
Maruti Ciaz,2017,2800000,30000,Dealer,Petrol,Manual,,765000
Maruti Celerio,2014,2550000,66000,Dealer,CNG,Manual,,360000
Toyota Innova,2017,1500000,7000,Dealer,Diesel,Manual,,1895000
Hyundai Grand,2016,2300000,30000,Individual,Petrol,Manual,,320000
Jeep Compass,2018,2265000,17500,Dealer,Petrol,Manual,,1335000
Tata Tiago,2016,1550000,28000,Dealer,Petrol,Manual,,445000
Maruti Wagon R,2012,1625000,87000,Dealer,Petrol,Manual,,200000
Mercedes-Benz CLS,2020,2500000,70000,Dealer,Diesel,Automatic,,1100000
Mahindra XUV500,2017,2730000,110000,Individual,Diesel,Manual,,1300000
Honda City,2017,3275000,80000,Individual,Petrol,Automatic,,300000
Skoda Rapid,2013,1850000,36000,Dealer,Diesel,Manual,,530000
Toyota Fortuner,2016,1550000,102000,Dealer,Diesel,Automatic,,1425000
Honda Civic,2020,900000,11000,Dealer,Petrol,Automatic,,2000000
Volkswagen Polo,2023,2450000,89929,Dealer,Diesel,Manual,,441000
Maruti Vitara,2016,535000,55000,Dealer,Diesel,Manual,,925000
Honda City,2020,3190000,11200,Dealer,Petrol,Automatic,,1275000
Mahindra Scorpio,2000,1575000,46000,Dealer,Diesel,Manual,,825000
Jeep Compass,2021,725000,21000,Dealer,Petrol,Automatic,,1499000
Datsun RediGO,2023,1265000,10000,Individual,Petrol,Manual,,320000
Renault KWID,2022,630000,19000,Dealer,Petrol,Automatic,,365000
Hyundai i10,2023,3035000,70000,Individual,Petrol,Manual,,190000
Mercedes-Benz C-Class,2001,875000,58000,Dealer,Diesel,Automatic,,1090000
Volkswagen Vento,2023,1450000,45000,Dealer,Petrol,Manual,,355000
Hyundai Grand,2004,555000,89000,Dealer,Diesel,Manual,,425000
Honda City,2013,1850000,89000,Dealer,Diesel,Manual,,575000
Hyundai Verna,2018,450000,51000,Dealer,Diesel,Automatic,,980000
Hyundai Grand,2011,1450000,5000,Individual,Petrol,Manual,,800000
Maruti Wagon R,2007,2700000,41224,Dealer,CNG,Manual,,395000
Maruti Swift Dzire,2007,3000000,20000,Individual,Petrol,Manual,,650000
Ford Figo,2011,8900000,25000,Individual,Petrol,Manual,,295000
Toyota Innova,2016,3600000,120000,Individual,Diesel,Manual,,850000
Datsun RediGO,2012,3300000,45000,Dealer,Petrol,Manual,,255000
Toyota Camry,2019,16600000,47000,Dealer,Petrol,Manual,,475000
Maruti Swift,2018,1550000,13100,Dealer,Petrol,Manual,,460000
Maruti Wagon R,2015,4650000,56000,Dealer,Petrol,Manual,,395000
Honda Jazz,2021,2475000,15000,Individual,Petrol,Manual,,700000
Maruti Eeco,2018,4000000,55000,Dealer,Petrol,Manual,,335000
Hyundai Verna,2017,2150000,28000,Dealer,Diesel,Automatic,,1150000
Maruti Alto,2019,1400000,60000,Individual,Petrol,Manual,,264000
Maruti Swift,2017,1025000,20000,Dealer,Petrol,Manual,,525000
Maruti Celerio,2019,2650000,52250,Dealer,Petrol,Manual,,395000
Skoda Rapid,2018,1550000,74571,Dealer,Diesel,Manual,,475000
Hyundai Verna,2012,595000,3900,Dealer,Petrol,Automatic,,1190000
Skoda Rapid,2014,1185000,77000,Dealer,Diesel,Manual,,370000
Mercedes-Benz E-Class,2020,2200000,10000,Individual,Diesel,Automatic,,5700000
Mercedes-Benz E-Class,2012,3050000,66000,Dealer,Diesel,Automatic,,925000
Maruti Alto,2021,2725000,52349,Dealer,Petrol,Manual,,214000
Hyundai i20,2007,2065000,34000,Dealer,Petrol,Manual,,495000
Volkswagen Vento,2016,833000,64253,Dealer,Diesel,Manual,,850000
Toyota Innova,2022,770000,80000,Dealer,Diesel,Manual,,600000
Ford Ecosport,2007,600000,70000,Individual,Diesel,Manual,,650000
Maruti Vitara,2008,630000,55000,Dealer,Diesel,Manual,,874000
Maruti Swift Dzire,2017,1450000,68000,Dealer,Diesel,Manual,,676000
Renault KWID,2021,2685000,21445,Dealer,Petrol,Manual,,345000
Hyundai i20,2016,3195000,30000,Individual,Petrol,Manual,,470000
Hyundai Grand,2013,3250000,38597,Dealer,Diesel,Manual,,491000
Maruti Alto,2021,26500000,53800,Dealer,CNG,Manual,,235000
Maruti Ignis,2018,1650000,8500,Dealer,Petrol,Manual,,600000
Hyundai i20,2020,2125000,25000,Individual,Petrol,Manual,,635000
Maruti Swift,2019,2850000,90000,Individual,Diesel,Manual,,500000
Hyundai i20,2021,3275000,88000,Dealer,Petrol,Manual,,275000
Hyundai Elantra,2017,1650000,59000,Dealer,Diesel,Manual,,875000
Maruti Swift Dzire,2021,1250000,110000,Individual,CNG,Manual,,450000
Skoda Superb,2009,600000,54000,Dealer,Petrol,Manual,,479000
Datsun redi-GO,2019,950000,5986,Dealer,Petrol,Automatic,,375000
Skoda Rapid,2015,2660000,85000,Dealer,Diesel,Manual,,350000
Maruti Swift,2004,1650000,62500,Dealer,Diesel,Manual,,485000
Ford Aspire,2019,6200000,50000,Individual,Diesel,Manual,,800000
Hyundai i10,2017,600000,84255,Dealer,Petrol,Manual,,215000
Hyundai Creta,2013,785000,20000,Dealer,Diesel,Manual,,1000000
Hyundai Verna,2020,2150000,100000,Individual,Diesel,Manual,,700000
Maruti Baleno,2018,490000,60000,Dealer,Diesel,Manual,,675000
Isuzu D-Max,2015,19200000,120000,Individual,Diesel,Manual,,1200000
Jaguar XF,2020,2125000,28001,Dealer,Diesel,Automatic,,1895000
Maruti Alto,2002,1000000,43000,Dealer,Petrol,Manual,,230000
Hyundai i20,2021,1050000,18000,Dealer,Petrol,Manual,,600000
Maruti Ertiga,2014,820000,62000,Individual,Petrol,Manual,,815000
Maruti Ciaz,2008,2350000,50000,Individual,Petrol,Manual,,680000
Maruti Ertiga,2008,1430000,26938,Trustmark Dealer,CNG,Manual,,855000
Mahindra XUV500,1995,1400000,72500,Dealer,Diesel,Manual,,811000
Skoda Superb,2016,14000000,65000,Dealer,Petrol,Automatic,,1515000
Hyundai Verna,2016,1145000,55000,Individual,Diesel,Manual,,450000
Hyundai i20,2014,2065000,115000,Individual,Petrol,Manual,,325000
Mahindra KUV,2023,1150000,53000,Individual,Petrol,Manual,,400000
BMW 3,2021,680000,44000,Dealer,Diesel,Automatic,,2300000
Hyundai i20,2019,495000,31695,Dealer,Petrol,Manual,,589000
Hyundai i20,2013,2575000,37962,Dealer,Diesel,Manual,,715000
Maruti Ertiga,2022,1050000,58277,Dealer,Petrol,Manual,,590000
Mercedes-Benz E-Class,2011,515000,71000,Dealer,Diesel,Automatic,,851000
Maruti Swift Dzire,2024,2700000,53000,Dealer,Diesel,Manual,,753000
Maruti Alto,2013,1150000,80000,Dealer,Petrol,Manual,,135000
Hyundai i20,2018,2600000,25590,Dealer,Petrol,Manual,,319000
Maruti Swift,2023,25000000,41000,Dealer,Petrol,Manual,,515000
Maruti Alto,2020,640000,46000,Dealer,Petrol,Manual,,150000
Audi A4,2014,1525000,110000,Individual,Diesel,Automatic,,940000
Maruti Wagon R,2023,1490000,42710,Dealer,Petrol,Manual,,285000
Audi A6,2019,820000,52121,Dealer,Diesel,Automatic,,1700000
Honda Jazz,2019,1100000,30000,Individual,Petrol,Manual,,740000
Mahindra XUV500,2017,1925000,43943,Dealer,Diesel,Manual,,775000
Renault Duster,2016,3200000,75704,Dealer,Diesel,Manual,,590000
Maruti Swift,2018,2350000,60000,Dealer,Diesel,Manual,,590000
Maruti Ertiga,2023,1750000,98000,Dealer,Diesel,Manual,,750000
Maruti Wagon R,2017,3290000,43000,Individual,Petrol,Manual,,380000
Hyundai Verna,2019,1590000,60000,Dealer,Diesel,Manual,,485000
Hyundai Grand,2021,2990000,10000,Dealer,Petrol,Manual,,500000
Hyundai Grand,2017,1350000,29901,Dealer,Petrol,Manual,,450000
Mercedes-Benz GL-Class,2022,2400000,43715,Dealer,Diesel,Automatic,,3500000
Mahindra XUV500,2018,2899000,49000,Dealer,Diesel,Automatic,,1300000
Maruti Vitara,2017,520000,54452,Dealer,Diesel,Manual,,850000
Maruti Alto,2016,1599000,70000,Individual,Petrol,Manual,,210000
Skoda Rapid,2001,1050000,69000,Dealer,Petrol,Automatic,,450000
Land Rover Rover,2015,2250000,145000,Dealer,Diesel,Automatic,,2850000
Maruti Swift Dzire,2020,2200000,29000,Dealer,Diesel,Automatic,,775000
Mahindra Thar,2013,2350000,40000,Individual,Diesel,Manual,,850000
Tata Hexa,2017,655000,44489,Dealer,Diesel,Automatic,,1365000
Jeep Compass,2012,550000,40000,Individual,Diesel,Manual,,1650000
Toyota Innova,2007,3525000,124000,Dealer,Diesel,Manual,,1150000
Volkswagen Vento,2015,3275000,43000,Dealer,Petrol,Automatic,,690000
Mercedes-Benz C-Class,2018,3550000,78000,Dealer,Petrol,Automatic,,899000
Maruti Ignis,2019,2375000,18000,Dealer,Diesel,Manual,,640000
BMW 6,2010,2330000,17226,Dealer,Petrol,Automatic,,5000000
Audi A4,2015,895000,67000,Dealer,Petrol,Automatic,,845000
Maruti Wagon R,2011,665000,80000,Dealer,Petrol,Manual,,175000
Hyundai i20,2014,1950000,52000,Individual,Petrol,Manual,,535000
Maruti Alto,2015,2100000,34000,Individual,Petrol,Manual,,255000
Honda Amaze,2021,1300000,164000,Dealer,Diesel,Manual,,435000
Mercedes-Benz E-Class,2015,550000,26952,Dealer,Diesel,Automatic,,2600000
Mahindra KUV,2015,650000,41256,Dealer,Diesel,Manual,,449000
Maruti Alto,2016,1070000,25000,Dealer,Petrol,Manual,,155000
Renault KWID,2011,2875000,33000,Dealer,Petrol,Manual,,360000
Maruti Swift,2019,3950000,25000,Individual,Petrol,Automatic,,630000
Maruti Ciaz,2019,1495000,64000,Dealer,Diesel,Manual,,575000
Hyundai i20,2022,1490000,80000,Dealer,Petrol,Manual,,320000
Maruti Wagon R,2017,1930000,59000,Dealer,Petrol,Manual,,165000
Maruti Wagon R,2012,400000,23710,Dealer,Petrol,Manual,,190000
Mercedes-Benz E-Class,2020,1950000,68000,Dealer,Diesel,Automatic,,1690000
Renault KWID,2014,1790000,36000,Dealer,Petrol,Automatic,,395000
Maruti Celerio,2012,1225000,15500,Dealer,Petrol,Automatic,,485000
Mercedes-Benz E-Class,2014,3575000,11000,Dealer,Diesel,Automatic,,5275000
Skoda Superb,2018,1720000,68387,Dealer,Petrol,Automatic,,499000
Maruti Ertiga,2019,2275000,73000,Dealer,Diesel,Manual,,589000
Audi A6,2018,1400000,56787,Dealer,Diesel,Automatic,,1650000
Toyota Innova,2014,2080000,119000,Dealer,Diesel,Manual,,1400000
Volkswagen Polo,2019,3950000,18523,Dealer,Petrol,Automatic,,875000
BMW X3,1993,1250000,8620,Dealer,Diesel,Automatic,,6100000
Ford Ecosport,2017,2600000,67000,Individual,Diesel,Manual,,979000
Maruti Wagon R,2014,590000,50000,Individual,CNG,Manual,,450000
Hyundai Grand,2020,2775000,40125,Dealer,Petrol,Manual,,540000
Hyundai i20,2008,2475000,57000,Dealer,Petrol,Manual,,275000
Hyundai Grand,2012,1650000,15000,Individual,Petrol,Manual,,575000
Ford Ecosport,2022,1530000,39720,Dealer,Petrol,Manual,,650000
Ford Ecosport,2019,420000,26000,Individual,Diesel,Manual,,700000
Skoda Octavia,2023,2500000,79000,Dealer,Diesel,Automatic,,1200000
Maruti Vitara,2021,2320000,15734,Dealer,Diesel,Automatic,,1020000
Maruti Wagon R,2020,3600000,55000,Dealer,Petrol,Manual,,175000
Maruti Vitara,2018,3850000,30000,Individual,Diesel,Manual,,760000
Mercedes-Benz E-Class,2001,1470000,26000,Dealer,Petrol,Automatic,,4150000
Maruti Wagon R,2017,1265000,138008,Dealer,Petrol,Manual,,110000
Mercedes-Benz GL-Class,2022,1950000,32000,Dealer,Diesel,Automatic,,3850000
Honda Amaze,2006,1480000,41612,Dealer,Petrol,Manual,,575000
Toyota Innova,2021,1570000,69000,Dealer,Diesel,Manual,,1120000
Hyundai i20,2007,2400000,89000,Dealer,Petrol,Automatic,,325000
Mahindra XUV500,2020,445000,200000,Individual,Diesel,Manual,,600000
Maruti Celerio,2015,1750000,16000,Dealer,Petrol,Automatic,,445000
Maruti Ertiga,2013,2050000,30900,Individual,CNG,Manual,,820000
Hyundai Verna,2015,3250000,71452,Dealer,Diesel,Automatic,,495000
Ford Figo,2022,650000,52000,Dealer,Diesel,Manual,,550000
Toyota Fortuner,2015,1990000,64000,Dealer,Diesel,Manual,,1085000
Mahindra XUV500,2007,5300000,135884,Dealer,Diesel,Manual,,950000
Ford Ecosport,2012,895000,60000,Individual,Diesel,Manual,,800000
Honda City,2023,1450000,100000,Individual,Diesel,Manual,,850000
Renault KWID,2014,860000,35000,Individual,Petrol,Manual,,299000
Maruti Swift,2020,1300000,107000,Individual,Diesel,Manual,,600000
Volkswagen Polo,2009,2476000,68000,Dealer,Diesel,Manual,,450000
Tata Tiago,2009,1670000,14902,Dealer,Petrol,Manual,,310000
BMW 7,2007,2600000,37000,Dealer,Diesel,Automatic,,6400000
Renault Duster,2021,725000,80342,Dealer,Diesel,Manual,,580000
Toyota Fortuner,2015,2430000,79431,Dealer,Diesel,Manual,,990000
Maruti Swift Dzire,2021,920000,21000,Individual,Petrol,Manual,,470000
Renault Duster,2012,1880000,53000,Dealer,Diesel,Manual,,475000
Maruti Wagon R,2020,640000,17745,Dealer,Petrol,Manual,,500000
Honda Amaze,2018,900000,54642,Dealer,Diesel,Manual,,390000
Hyundai i10,2021,3485000,77739,Dealer,Petrol,Automatic,,290000
Maruti Celerio,2015,350000,36000,Dealer,Petrol,Automatic,,450000
Hyundai Grand,2004,1665000,31025,Dealer,Petrol,Automatic,,596000
Maruti Vitara,2018,2500000,83000,Individual,Diesel,Manual,,650000
Maruti Ignis,2015,2390000,26000,Dealer,Petrol,Manual,,490000
Volkswagen Vento,2021,850000,4200,Dealer,Petrol,Manual,,875000
Toyota Innova,2003,3645000,74000,Dealer,Diesel,Manual,,950000
Skoda Rapid,2021,2250000,56789,Dealer,Diesel,Automatic,,775000
Maruti Ertiga,2022,1300000,37000,Dealer,Petrol,Manual,,695000
Mercedes-Benz E-Class,2014,540000,57000,Dealer,Diesel,Automatic,,1125000
Hyundai i20,2015,1565000,90000,Individual,Petrol,Manual,,310000
Ford Figo,2003,3000000,20319,Dealer,Petrol,Manual,,355000
Renault Duster,2007,2090000,76000,Dealer,Diesel,Manual,,541000
Toyota Innova,2012,3350000,174000,Dealer,Diesel,Manual,,850000
Jaguar XF,2007,2100000,28000,Dealer,Diesel,Automatic,,2400000
